median_annual_salary_gbp,SuperSkill_Basic_Data_Science,SuperSkill_BI_DataViz,SuperSkill_Statistical_Analysis_Reporting,SuperSkill_Cloud-Enabled_AI_BI,SuperSkill_SQL_Analytics_&_Automation,SuperSkill_AI_Cloud_Excel,SuperSkill_Cloud_Augmented_Analysis,SuperSkill_Cloud_Analytics_Econometrics,SuperSkill_Python_Data_Products,SuperSkill_Cloud_Engineering_MLOps,SuperSkill_BI_&_DataViz,SuperSkill_R_StatScience_&_BI,region_East Midlands (England),region_East of England,region_Isle of Man,region_London,region_North East (England),region_North West (England),region_Northern Ireland,region_Remote,region_Scotland,region_South East (England),region_South West (England),region_Wales,region_Yorkshire and The Humber,kmeans_job_archetype_AI Strategist,kmeans_job_archetype_BI Visualization Specialist (Power BI Focus),kmeans_job_archetype_Classic Data Scientist (Stats & Modeling Focus),kmeans_job_archetype_Cloud & Data Engineer,kmeans_job_archetype_Machine Learning & AI Specialist,kmeans_job_archetype_Noise / General Business Role,kmeans_job_archetype_SQL Developer,seniority_Manager/Director,seniority_Mid-Level,seniority_Senior
57500.0,1.5099299565794797,-0.7511119552689185,0.5171239569091202,0.44019931401486423,0.4646857236615323,-0.31612108632386265,-0.1449455786654973,-0.062735126721649,0.12327855386629051,-0.3547367319977209,0.29338730432600973,-0.4761704542355378,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
55000.0,0.6758912662566601,0.5784330775207199,-0.6774171686990496,-0.09920455530597307,0.01956743671545217,-0.08612187927193293,-0.008273566895336038,0.2956357950808452,0.011157693468647045,0.2477375691284869,-0.5915359005359506,-0.28920589653152723,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
50000.0,-0.06866841291860415,-0.43170320710249055,0.5351303902542762,-0.26831141732099095,-0.30830406176466774,-0.7627095909575405,0.34594512177948744,0.0008955556817227713,0.03163195828078881,-0.3751739469451711,0.16370448072242863,-0.36886026289775115,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
49500.0,-0.18234386733719732,-0.7582387187594302,0.2547928825063032,0.3324846852045775,-0.05372371339811517,-0.2080418207193299,0.15711506431616987,-0.1751001870519922,0.46904881604018106,-0.7433399204885943,-0.28774894702852044,-0.0858465450721568,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
48000.0,0.6809536959066023,-1.1538070750164497,-0.7128204670990077,0.20374521995535955,0.08714813825050682,0.8310772353418033,-0.11093161094604245,0.021802674190610997,0.19293985764137367,0.2675157647820587,0.6389232716825695,0.07501763157711575,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
48000.0,1.3907370423197998,-0.866499651773526,0.5038106483200684,0.149131639289513,0.6861392988421927,-0.26696518789046914,0.3644361941902412,0.2954265263099606,0.10010508872356551,-0.39836286939613835,0.15712466579933781,-0.3073405075959111,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
42000.0,1.816769701593607,-0.3738172902744209,0.9847533331982286,0.914214131449941,0.046487178533465436,-0.14558598930780003,-0.6076667754003312,-0.2738251615956553,0.09547390968245044,-0.19226298874925762,0.4491701824142515,-0.3758538641050846,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
35500.0,-0.5644922031555741,0.1901656362324159,0.44420293786341786,-0.12878884338850527,-0.12552515637335832,0.573219688674653,0.5372443420802051,-0.08678464273166502,0.09102649875599327,0.18390637480951438,-0.04765229698986335,-0.1203226739665216,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35000.0,-0.4296841500636337,0.46148195605924336,0.6534208315706872,0.2370744988160926,-0.38528028983578255,0.6379664406768869,0.24373952296134252,-0.0621243811924633,0.17503415195858124,0.4059276315237239,-0.02856814531260718,-0.23217425902877167,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34000.0,1.1309671920713669,0.14297149133422152,-1.168249475517651,0.08642613107535854,-0.012099745747920325,0.16065497686445257,0.32955475035796544,0.3156892965074882,-0.06604702659609049,0.42748880838067443,0.2069465251043861,0.12695729399052313,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
