median_annual_salary_gbp,is_salary_imputed,SuperSkill_Basic_Data_Science,SuperSkill_BI_DataViz,SuperSkill_Statistical_Analysis_Reporting,SuperSkill_Cloud-Enabled_AI_BI,SuperSkill_SQL_Analytics_&_Automation,SuperSkill_AI_Cloud_Excel,SuperSkill_Cloud_Augmented_Analysis,SuperSkill_Cloud_Analytics_Econometrics,SuperSkill_Python_Data_Products,SuperSkill_Cloud_Engineering_MLOps,SuperSkill_Analytics_Engineering_&_MLOps,SuperSkill_R_StatScience_&_BI,region_East Midlands (England),region_East of England,region_London,region_North East (England),region_North West (England),region_Northern Ireland,region_Remote,region_Scotland,region_South East (England),region_South West (England),region_Wales,region_Yorkshire and The Humber,kmeans_job_archetype_AI Strategist,kmeans_job_archetype_BI Visualization Specialist (Power BI Focus),kmeans_job_archetype_Classic Data Scientist (Stats & Modeling Focus),kmeans_job_archetype_Cloud & Data Engineer,kmeans_job_archetype_Machine Learning & AI Specialist,kmeans_job_archetype_Noise / General Business Role,kmeans_job_archetype_SQL Developer,seniority_Manager/Director,seniority_Mid-Level,seniority_Senior
35500.0,False,-0.5646711433608176,0.1901315773602002,0.4441837857646564,-0.12889174437207357,-0.1256132709681606,0.5730887009388292,0.5372741057742789,-0.08676897513252226,0.09104635352572554,0.18389722459313482,-0.04764056805299738,-0.12031744272873138,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35000.0,False,-0.42988365186645183,0.46145039183102327,0.6534003057874475,0.23700253539393518,-0.38534559820012104,0.6378837091973762,0.24379256315199102,-0.062111431428434505,0.1750682073707459,0.4059192920482015,-0.02853637166924054,-0.2321585534981023,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
34000.0,False,1.1308282669486591,0.14300106539446297,-1.1682432117938653,0.08641651941184823,-0.012114803130084235,0.16062688150439353,0.3295956334047466,0.31572474506323994,-0.06598083558749332,0.42745115264111194,0.20697195186487158,0.12697540840857935,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
32500.0,False,-0.5944574898811306,-0.04156459189710685,-0.02789468342127104,-0.11376063669555143,-0.0405920877685459,-0.08440282846814431,-0.08671322814190177,-0.023415122651275284,-0.02427242382074501,0.040907242247120446,0.01842199254074486,0.020790802199979006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
31500.0,False,-0.30710851307952286,0.07903610030494576,0.8028994776536624,-0.3403614558007705,-0.20542433238489244,0.4121477851841827,0.6563944015704758,0.2596206085963332,-0.3396750372984675,-0.10145681563251227,0.2619345065638792,-0.4409055443537719,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
30500.0,False,-0.5614266883195246,0.1453063076197676,0.40255215274659484,-0.11462756297447084,-0.13806354612911062,0.526431580863135,0.47149178209641174,-0.07419460268364977,0.10351728107042102,0.13041809451105763,-0.08688434737412487,-0.02575865227546852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
28000.0,False,0.5241885109762885,0.011254768614179365,-0.31064193168618043,0.17025319124027039,0.8027850802598194,0.39453588774136816,-0.32815293967086767,0.08105100356889652,0.34191048880796254,-0.376885116095003,-0.17548258023018928,-0.11825746843591184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
28000.0,False,0.5241885109762885,0.011254768614179365,-0.31064193168618043,0.17025319124027039,0.8027850802598194,0.39453588774136816,-0.32815293967086767,0.08105100356889652,0.34191048880796254,-0.376885116095003,-0.17548258023018928,-0.11825746843591184,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
26000.0,False,-0.5614266883195246,0.1453063076197676,0.40255215274659484,-0.11462756297447084,-0.13806354612911062,0.526431580863135,0.47149178209641174,-0.07419460268364977,0.10351728107042102,0.13041809451105763,-0.08688434737412487,-0.02575865227546852,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
55000.0,True,0.8090152386506713,0.46477771673156915,-0.6885950858016452,-0.5874925779105243,0.3970723208482066,0.11660294725202253,-0.06359110138314442,-0.8738182346766186,-0.7935268329414618,0.10520816462820021,-0.952718034912918,-0.5224977878127098,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
135200.0,False,-0.5944574898811306,-0.04156459189710685,-0.02789468342127104,-0.11376063669555143,-0.0405920877685459,-0.08440282846814431,-0.08671322814190177,-0.023415122651275284,-0.02427242382074501,0.040907242247120446,0.01842199254074486,0.020790802199979006,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
35242.75,True,-0.13309925647322884,0.5628824660505389,-0.19982253044853426,0.10360424220291152,0.6266243050604147,-0.27175783331393244,0.09042625003922272,0.06391775837554398,0.039635523582120524,-0.2869896025094653,0.024853201744122307,-0.12004977696182945,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
